# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/fragment_one.xml:2
# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/fragment_three.xml:2
# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/fragment_two.xml:2
# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/tinderview.xml:2
-keep class android.support.constraint.ConstraintLayout { <init>(...); }
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_search_view.xml:75
-keep class android.support.v7.widget.SearchView$SearchAutoComplete { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout-v26/abc_screen_toolbar.xml:37
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_screen_toolbar.xml:36
# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/activity_main.xml:12
-keep class android.support.v7.widget.Toolbar { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_screen_simple.xml:25
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_screen_simple_overlay_action_mode.xml:32
-keep class android.support.v7.widget.ViewStubCompat { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout-watch-v20/abc_alert_dialog_title_material.xml:53
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_alert_dialog_button_bar_material.xml:43
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_alert_dialog_material.xml:52
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_alert_dialog_material.xml:66
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_alert_dialog_title_material.xml:56
-keep class android.widget.Space { <init>(...); }

# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/activity_main.xml:28
-keep class com.example.prasanth.wellthy.CustomViewPager { <init>(...); }

# Referenced at /home/prasanth/StudioProjects/Wellthy/app/build/intermediates/manifests/full/debug/AndroidManifest.xml:21
-keep class com.example.prasanth.wellthy.MainActivity { <init>(...); }

